Step  570 | norm: 0.6632 | lr: 0.000027 | loss: 2.3417 | Data dt:  8.39 | Forward dt: 76.21 | Backward dt: 155.10
Step  575 | norm: 0.7019 | lr: 0.000028 | loss: 2.3361 | Data dt:  8.15 | Forward dt: 76.08 | Backward dt: 155.15
Step  580 | norm: 0.8633 | lr: 0.000028 | loss: 2.3374 | Data dt:  8.36 | Forward dt: 76.27 | Backward dt: 155.25
Step  585 | norm: 0.4909 | lr: 0.000028 | loss: 2.3265 | Data dt:  8.36 | Forward dt: 76.10 | Backward dt: 155.48
Step  590 | norm: 0.6767 | lr: 0.000028 | loss: 2.3160 | Data dt:  8.61 | Forward dt: 76.08 | Backward dt: 154.69
Step  595 | norm: 0.6047 | lr: 0.000029 | loss: 2.3253 | Data dt:  8.44 | Forward dt: 76.20 | Backward dt: 155.25
Step  600 | norm: 0.7510 | lr: 0.000029 | loss: 2.3059 | Data dt:  8.07 | Forward dt: 76.21 | Backward dt: 155.41
Step  605 | norm: 1.3460 | lr: 0.000029 | loss: 2.3149 | Data dt:  8.32 | Forward dt: 76.26 | Backward dt: 155.36
Step  610 | norm: 0.6860 | lr: 0.000029 | loss: 2.3072 | Data dt:  8.21 | Forward dt: 76.37 | Backward dt: 155.01
Step  615 | norm: 1.1140 | lr: 0.000030 | loss: 2.3383 | Data dt:  8.43 | Forward dt: 76.03 | Backward dt: 156.12
Step  620 | norm: 0.5708 | lr: 0.000030 | loss: 2.2984 | Data dt:  8.31 | Forward dt: 76.04 | Backward dt: 154.83
Step  625 | norm: 0.7937 | lr: 0.000030 | loss: 2.3206 | Data dt:  8.55 | Forward dt: 76.13 | Backward dt: 155.35
Step  630 | norm: 0.6233 | lr: 0.000030 | loss: 2.3084 | Data dt:  8.31 | Forward dt: 76.41 | Backward dt: 155.21
Step  635 | norm: 0.8577 | lr: 0.000031 | loss: 2.2580 | Data dt:  8.23 | Forward dt: 75.87 | Backward dt: 155.40
Step  640 | norm: 0.6349 | lr: 0.000031 | loss: 2.2925 | Data dt:  8.33 | Forward dt: 76.32 | Backward dt: 155.67
Step  645 | norm: 0.6555 | lr: 0.000031 | loss: 2.2941 | Data dt:  8.05 | Forward dt: 76.44 | Backward dt: 155.23
Step  650 | norm: 0.7830 | lr: 0.000031 | loss: 2.2741 | Data dt:  8.28 | Forward dt: 75.95 | Backward dt: 155.34
Step  655 | norm: 1.0436 | lr: 0.000031 | loss: 2.2798 | Data dt:  8.49 | Forward dt: 76.10 | Backward dt: 155.26
Step  660 | norm: 0.6683 | lr: 0.000032 | loss: 2.2783 | Data dt:  8.32 | Forward dt: 76.25 | Backward dt: 156.02
Step  665 | norm: 0.8797 | lr: 0.000032 | loss: 2.2756 | Data dt:  8.54 | Forward dt: 76.25 | Backward dt: 155.98
Step  670 | norm: 0.9021 | lr: 0.000032 | loss: 2.2890 | Data dt:  8.35 | Forward dt: 76.28 | Backward dt: 155.27
Step  675 | norm: 0.8143 | lr: 0.000032 | loss: 2.2773 | Data dt:  8.14 | Forward dt: 76.17 | Backward dt: 155.05
Step  680 | norm: 0.9735 | lr: 0.000033 | loss: 2.2489 | Data dt:  8.24 | Forward dt: 75.97 | Backward dt: 155.20
Step  685 | norm: 1.1026 | lr: 0.000033 | loss: 2.2757 | Data dt:  8.11 | Forward dt: 75.97 | Backward dt: 155.51
Step  690 | norm: 0.7630 | lr: 0.000033 | loss: 2.2873 | Data dt:  8.13 | Forward dt: 76.19 | Backward dt: 156.21
Step  695 | norm: 1.1470 | lr: 0.000033 | loss: 2.2289 | Data dt:  8.10 | Forward dt: 75.95 | Backward dt: 155.72
Step  700 | norm: 0.6841 | lr: 0.000034 | loss: 2.2701 | Data dt:  8.57 | Forward dt: 76.20 | Backward dt: 155.39
Step  705 | norm: 0.9166 | lr: 0.000034 | loss: 2.2424 | Data dt:  8.28 | Forward dt: 75.93 | Backward dt: 155.04
Step  710 | norm: 0.8503 | lr: 0.000034 | loss: 2.2261 | Data dt:  8.36 | Forward dt: 76.13 | Backward dt: 154.86
Step  715 | norm: 1.2317 | lr: 0.000034 | loss: 2.2343 | Data dt:  8.28 | Forward dt: 76.05 | Backward dt: 155.72
Step  720 | norm: 0.9400 | lr: 0.000035 | loss: 2.2424 | Data dt:  8.16 | Forward dt: 76.16 | Backward dt: 155.49
Step  725 | norm: 0.8559 | lr: 0.000035 | loss: 2.2229 | Data dt:  8.20 | Forward dt: 76.25 | Backward dt: 155.44
Step  730 | norm: 1.5654 | lr: 0.000035 | loss: 2.2262 | Data dt:  8.61 | Forward dt: 75.96 | Backward dt: 154.61
Step  735 | norm: 1.1265 | lr: 0.000035 | loss: 2.2189 | Data dt:  8.51 | Forward dt: 76.06 | Backward dt: 155.14
Step  740 | norm: 0.7758 | lr: 0.000036 | loss: 2.2051 | Data dt:  8.76 | Forward dt: 76.28 | Backward dt: 155.38
Step  745 | norm: 1.2291 | lr: 0.000036 | loss: 2.2315 | Data dt:  8.48 | Forward dt: 76.13 | Backward dt: 155.43
Step  750 | norm: 0.9726 | lr: 0.000036 | loss: 2.2159 | Data dt:  8.59 | Forward dt: 76.09 | Backward dt: 155.31
Step  755 | norm: 0.8962 | lr: 0.000036 | loss: 2.1880 | Data dt:  8.31 | Forward dt: 76.15 | Backward dt: 155.95
Step  760 | norm: 0.7170 | lr: 0.000037 | loss: 2.2108 | Data dt:  8.55 | Forward dt: 76.14 | Backward dt: 154.95
Step  765 | norm: 0.8672 | lr: 0.000037 | loss: 2.2241 | Data dt:  8.19 | Forward dt: 76.20 | Backward dt: 155.52
Step  770 | norm: 0.8795 | lr: 0.000037 | loss: 2.2061 | Data dt:  8.32 | Forward dt: 76.26 | Backward dt: 155.54
Step  775 | norm: 1.6896 | lr: 0.000037 | loss: 2.1780 | Data dt:  8.32 | Forward dt: 76.18 | Backward dt: 155.42
Step  780 | norm: 1.0311 | lr: 0.000037 | loss: 2.2107 | Data dt:  8.24 | Forward dt: 75.98 | Backward dt: 155.60
Step  785 | norm: 0.7567 | lr: 0.000038 | loss: 2.1903 | Data dt:  8.57 | Forward dt: 75.98 | Backward dt: 155.02
Step  790 | norm: 1.0645 | lr: 0.000038 | loss: 2.1828 | Data dt:  8.59 | Forward dt: 76.28 | Backward dt: 155.57
Step  795 | norm: 1.3928 | lr: 0.000038 | loss: 2.1899 | Data dt:  8.61 | Forward dt: 76.15 | Backward dt: 154.99
Step  800 | norm: 1.0068 | lr: 0.000038 | loss: 2.1825 | Data dt:  8.48 | Forward dt: 76.29 | Backward dt: 155.64
Step  805 | norm: 0.8699 | lr: 0.000039 | loss: 2.1978 | Data dt:  8.37 | Forward dt: 75.88 | Backward dt: 155.52
Step  810 | norm: 1.0618 | lr: 0.000039 | loss: 2.1740 | Data dt:  8.50 | Forward dt: 76.19 | Backward dt: 155.19
Step  815 | norm: 1.3913 | lr: 0.000039 | loss: 2.1786 | Data dt:  8.40 | Forward dt: 76.01 | Backward dt: 154.96
Step  820 | norm: 1.4401 | lr: 0.000039 | loss: 2.1540 | Data dt:  8.07 | Forward dt: 75.86 | Backward dt: 154.58
Step  825 | norm: 0.7660 | lr: 0.000040 | loss: 2.1562 | Data dt:  8.34 | Forward dt: 76.03 | Backward dt: 156.33
Step  830 | norm: 1.2247 | lr: 0.000040 | loss: 2.1589 | Data dt:  8.24 | Forward dt: 76.00 | Backward dt: 155.99
Step  835 | norm: 1.0044 | lr: 0.000040 | loss: 2.1511 | Data dt:  8.47 | Forward dt: 76.01 | Backward dt: 155.54
Step  840 | norm: 1.3575 | lr: 0.000040 | loss: 2.1700 | Data dt:  8.58 | Forward dt: 76.08 | Backward dt: 155.52
Step  845 | norm: 1.2661 | lr: 0.000041 | loss: 2.1338 | Data dt:  8.51 | Forward dt: 76.00 | Backward dt: 154.92
Step  850 | norm: 1.3701 | lr: 0.000041 | loss: 2.1274 | Data dt:  8.46 | Forward dt: 76.25 | Backward dt: 155.24
Step  855 | norm: 2.0999 | lr: 0.000041 | loss: 2.1285 | Data dt:  8.42 | Forward dt: 76.02 | Backward dt: 155.46
Step  860 | norm: 2.7754 | lr: 0.000041 | loss: 2.1386 | Data dt:  8.31 | Forward dt: 76.18 | Backward dt: 155.52
Step  865 | norm: 1.5021 | lr: 0.000042 | loss: 2.1329 | Data dt:  8.65 | Forward dt: 76.02 | Backward dt: 155.13
Step  870 | norm: 0.8833 | lr: 0.000042 | loss: 2.1390 | Data dt:  8.22 | Forward dt: 76.01 | Backward dt: 155.42
Step  875 | norm: 1.1025 | lr: 0.000042 | loss: 2.1129 | Data dt:  8.55 | Forward dt: 76.03 | Backward dt: 155.55
Step  880 | norm: 1.2547 | lr: 0.000042 | loss: 2.1454 | Data dt:  8.32 | Forward dt: 75.87 | Backward dt: 155.16
Step  885 | norm: 0.9291 | lr: 0.000043 | loss: 2.1179 | Data dt:  8.31 | Forward dt: 76.12 | Backward dt: 155.86
Step  890 | norm: 1.5072 | lr: 0.000043 | loss: 2.1476 | Data dt:  8.18 | Forward dt: 76.23 | Backward dt: 155.41
Step  895 | norm: 1.1578 | lr: 0.000043 | loss: 2.1115 | Data dt:  8.06 | Forward dt: 76.08 | Backward dt: 155.32
Step  900 | norm: 1.5296 | lr: 0.000043 | loss: 2.1056 | Data dt:  8.10 | Forward dt: 76.20 | Backward dt: 155.40
Step  905 | norm: 1.7053 | lr: 0.000044 | loss: 2.1185 | Data dt:  8.49 | Forward dt: 76.00 | Backward dt: 155.49
Step  910 | norm: 1.6324 | lr: 0.000044 | loss: 2.0968 | Data dt:  8.39 | Forward dt: 76.06 | Backward dt: 155.24
Step  915 | norm: 1.8772 | lr: 0.000044 | loss: 2.0773 | Data dt:  8.47 | Forward dt: 76.08 | Backward dt: 155.71
Step  920 | norm: 1.1006 | lr: 0.000044 | loss: 2.1168 | Data dt:  8.41 | Forward dt: 76.42 | Backward dt: 155.42
Step  925 | norm: 0.9955 | lr: 0.000044 | loss: 2.1054 | Data dt:  8.36 | Forward dt: 76.15 | Backward dt: 154.86
Step  930 | norm: 1.3973 | lr: 0.000045 | loss: 2.1033 | Data dt:  8.32 | Forward dt: 75.92 | Backward dt: 155.53
Step  935 | norm: 1.5342 | lr: 0.000045 | loss: 2.0855 | Data dt:  8.24 | Forward dt: 76.24 | Backward dt: 155.21
Step  940 | norm: 1.7700 | lr: 0.000045 | loss: 2.0589 | Data dt:  8.15 | Forward dt: 76.24 | Backward dt: 155.81
Step  945 | norm: 1.1435 | lr: 0.000045 | loss: 2.0749 | Data dt:  8.18 | Forward dt: 76.35 | Backward dt: 155.18
Step  950 | norm: 1.3773 | lr: 0.000046 | loss: 2.1136 | Data dt:  8.54 | Forward dt: 76.20 | Backward dt: 155.49
Step  955 | norm: 1.0879 | lr: 0.000046 | loss: 2.0844 | Data dt:  8.07 | Forward dt: 76.27 | Backward dt: 155.40
Step  960 | norm: 1.3488 | lr: 0.000046 | loss: 2.0930 | Data dt:  8.43 | Forward dt: 76.23 | Backward dt: 155.38
Step  965 | norm: 2.2714 | lr: 0.000046 | loss: 2.0763 | Data dt:  8.19 | Forward dt: 75.94 | Backward dt: 155.61
Step  970 | norm: 1.2065 | lr: 0.000047 | loss: 2.0881 | Data dt:  8.20 | Forward dt: 76.37 | Backward dt: 155.44
Step  975 | norm: 1.0664 | lr: 0.000047 | loss: 2.0574 | Data dt:  8.30 | Forward dt: 76.17 | Backward dt: 155.63
Step  980 | norm: 1.7756 | lr: 0.000047 | loss: 2.0471 | Data dt:  8.34 | Forward dt: 76.27 | Backward dt: 155.09
Step  985 | norm: 1.7964 | lr: 0.000047 | loss: 2.0823 | Data dt:  8.50 | Forward dt: 76.21 | Backward dt: 154.92
Step  990 | norm: 1.8492 | lr: 0.000048 | loss: 2.0753 | Data dt:  8.73 | Forward dt: 76.23 | Backward dt: 154.64
